#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.085507912153  0.085507912153  0.014769886659  -0.000000064739   0.100277734073  -0.401907532181
1  0.088298656794  0.088298656794  0.011975971329  -0.001781506192   0.098493121932  -0.277405668645
2  0.088306641659  0.088306641659  0.011965443528  -0.001789420699   0.098482664489  -0.276903827621
3  0.088313645811  0.088313645811  0.011955578649  -0.001796633483   0.098472590977  -0.276439120471
4  0.092679957406  0.092679957406  0.017302186947  -0.000052835614   0.109929308739  -0.469378998867
5  0.092682943123  0.092682943123  0.017294388028  -0.000052850923   0.109924480228  -0.469166362785
6  0.092685803718  0.092685803718  0.017283713465  -0.000054902623   0.109914614560  -0.468820063343
7  0.095643574028  0.095643574028  0.014548766682  -0.001965297066   0.108227043645  -0.342413825127
8  0.095646653600  0.095646653600  0.014542104399  -0.001968783103   0.108219974895  -0.342137675106
9  0.095656880007  0.095656880007  0.014528428030  -0.001984035355   0.108201272682  -0.341350486835
10  0.096710128053  0.096710128053  0.012466600413  -0.002122664937   0.107054063529  -0.281472965809
11  0.096729214935  0.096729214935  0.012429630925  -0.002134811767   0.107024034093  -0.280136442049
12  0.096748721205  0.096748721205  0.012390831897  -0.002149174361   0.106990378741  -0.278689839882
13  0.096792613537  0.096792613537  0.012561165124  -0.002171250351   0.107182528310  -0.282724126837
14  0.096796796317  0.096796796317  0.012553986537  -0.002173148674   0.107177634180  -0.282477131430
15  0.097424490207  0.097424490207  0.012334120987  -0.001902559802   0.107856051391  -0.283857384022
16  0.097884788378  0.097884788378  0.019696568386  -0.000020970924   0.117560385840  -0.535400552764
17  0.097890966295  0.097890966295  0.019681219209  -0.000021220703   0.117550964801  -0.534976083353
18  0.097967997334  0.097967997334  0.019710434351  -0.000000175283   0.117678256401  -0.536343743582
19  0.098643093152  0.098643093152  0.008075306599  -0.000035756691   0.106682643060  -0.218767408357
20  0.098643402048  0.098643402048  0.008074893818  -0.000036051632   0.106682244234  -0.218748150250
21  0.098643846932  0.098643846932  0.008074242371  -0.000036539629   0.106681549674  -0.218717144396
