#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.066188062597  0.066188062597  0.007201182083  -0.000024275138   0.073364969542  -0.195293685634
1  0.066968137780  0.066968137780  0.006731863592  -0.000662859073   0.073037142299  -0.165146109575
2  0.066982106878  0.066982106878  0.006716248803  -0.000669515594   0.073028840087  -0.164540076036
3  0.067063707125  0.067063707125  0.006643238075  -0.000724120917   0.072982824282  -0.161067464621
4  0.069814553499  0.069814553499  0.007736561651  -0.000032012160   0.077519102990  -0.209651578022
5  0.070236353023  0.070236353023  0.007700004456  -0.000054431162   0.077881926318  -0.208046753143
6  0.070265985880  0.070265985880  0.007556625086  -0.000299062527   0.077523548440  -0.197488437830
7  0.070555102317  0.070555102317  0.007441977664  -0.000535228190   0.077461851791  -0.187942322629
8  0.070851172326  0.070851172326  0.007470853762  -0.000439605713   0.077882420375  -0.191330103161
9  0.071038777692  0.071038777692  0.007071102243  -0.000957041061   0.077152838874  -0.166372164446
10  0.071133731678  0.071133731678  0.007372006621  -0.000211808122   0.078293930176  -0.194839025428
11  0.071375091192  0.071375091192  0.007056923155  -0.000805113689   0.077626900658  -0.170120488099
12  0.071634764175  0.071634764175  0.006889846464  -0.001079390078   0.077445220561  -0.158110652897
13  0.071795387281  0.071795387281  0.006821880287  -0.000632014317   0.077985253251  -0.168434918877
14  0.071920716751  0.071920716751  0.006935474985  -0.000750203900   0.078105987836  -0.168309885595
15  0.072712988315  0.072712988315  0.004518457933  -0.000002765542   0.077228680706  -0.122878311924
16  0.072744431889  0.072744431889  0.004606414718  -0.000055625860   0.077295220747  -0.123833335929
17  0.072758497088  0.072758497088  0.006411206512  -0.001264434750   0.077905268850  -0.140050865120
18  0.072806097427  0.072806097427  0.004652559214  -0.000074684336   0.077383972305  -0.124570384438
19  0.072851143878  0.072851143878  0.004752393354  -0.000145323009   0.077458214223  -0.125364833992
20  0.072978514781  0.072978514781  0.004517559560  -0.000012812234   0.077483262107  -0.122580481388
21  0.072988009557  0.072988009557  0.004514163776  -0.000018154016   0.077484019316  -0.122342719966
22  0.073010993625  0.073010993625  0.004504862836  -0.000052434237   0.077463422224  -0.121156815578
23  0.073017751056  0.073017751056  0.004529889558  -0.000084005559   0.077463635055  -0.120978727865
24  0.073541162435  0.073541162435  0.004487511424  -0.000006255061   0.078022418799  -0.121941259418
25  0.073551730181  0.073551730181  0.004479197842  -0.000021081167   0.078009846856  -0.121311596094
26  0.073558872014  0.073558872014  0.004487471182  -0.000004493230   0.078041849966  -0.121988106241
27  0.073565086918  0.073565086918  0.004474616756  -0.000004581803   0.078035121872  -0.121635909139
28  0.074151732378  0.074151732378  0.007951116913  -0.000045571496   0.082057277795  -0.215120958562
29  0.074476320229  0.074476320229  0.007839409765  -0.000086591874   0.082229138121  -0.210965028778
30  0.074639079051  0.074639079051  0.007751972374  -0.000342404092   0.082048647333  -0.201624726355
31  0.074831457216  0.074831457216  0.007772373958  -0.000047855810   0.082555975364  -0.210194953136
32  0.074988495456  0.074988495456  0.007824640046  -0.000491108702   0.082322026799  -0.199555654789
