#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.086149627828  0.086149627828  0.018081714004  -0.000192345503   0.104038996329  -0.486794762040
1  0.089029739433  0.089029739433  0.015554396881  -0.001655910014   0.102928226299  -0.378197285524
2  0.089513769239  0.089513769239  0.015115058689  -0.001934440957   0.102694386970  -0.358663061342
3  0.089741955156  0.089741955156  0.015787704690  -0.001980139988   0.103549519859  -0.375723166145
4  0.091863330211  0.091863330211  0.021308504257  -0.000123759315   0.113048075153  -0.576466568511
5  0.092492767679  0.092492767679  0.021278354752  -0.000139106645   0.113632015785  -0.575228535927
6  0.093830597341  0.093830597341  0.020946251930  -0.000432225867   0.114344623405  -0.558215368829
7  0.094947990973  0.094947990973  0.018118480150  -0.001297873453   0.111768597671  -0.457712257089
8  0.095055734234  0.095055734234  0.018701511148  -0.001426620920   0.112330624462  -0.470073947955
9  0.096007940006  0.096007940006  0.018282212424  -0.002169733532   0.112120418898  -0.438443108103
10  0.096941519972  0.096941519972  0.018306632164  -0.002360402042   0.112887750094  -0.433919246349
11  0.097053533141  0.097053533141  0.018006008363  -0.002615474068   0.112444067437  -0.418797984933
12  0.097239405882  0.097239405882  0.017805266427  -0.002756990267   0.112287682043  -0.409484661919
13  0.098105371220  0.098105371220  0.018190284157  -0.002410527582   0.113885127795  -0.429389268048
14  0.098906339618  0.098906339618  0.024004139337  -0.000229864225   0.122680614730  -0.646931309776
15  0.099083362557  0.099083362557  0.023691924506  -0.000422708325   0.122352578738  -0.633187949194
16  0.099175660745  0.099175660745  0.015565068289  -0.002527547630   0.112213181405  -0.354769189672
17  0.099309713644  0.099309713644  0.016121664848  -0.002742416440   0.112688962051  -0.364068080109
18  0.099663773506  0.099663773506  0.023558469784  -0.000457030752   0.122765212539  -0.628622498092
19  0.099931607084  0.099931607084  0.024315483095  -0.000231067881   0.124016022298  -0.655370656158
20  0.101081300013  0.101081300013  0.010797869070  -0.000208328121   0.111670840961  -0.288156234567
21  0.101236062085  0.101236062085  0.011327979666  -0.000405062422   0.112158979329  -0.297227870287
22  0.101369093531  0.101369093531  0.011581429953  -0.000266501597   0.112684021887  -0.307895041467
23  0.101466043710  0.101466043710  0.010988221707  -0.000214860118   0.112239405299  -0.293158251540
24  0.101690880391  0.101690880391  0.010653362492  -0.000159381204   0.112184861678  -0.285555922397
25  0.101884960355  0.101884960355  0.010405243631  -0.000417746672   0.111872457314  -0.271773774762
26  0.102076191625  0.102076191625  0.011506821455  -0.000525333587   0.113057679493  -0.298821658974
27  0.102567946026  0.102567946026  0.011160207969  -0.000599062318   0.113129091677  -0.287383558764
28  0.102582734079  0.102582734079  0.020901614903  -0.002083526462   0.121400822520  -0.512066531810
29  0.102941455728  0.102941455728  0.009676405125  -0.000210246826   0.112407614027  -0.257587419927
30  0.102946168955  0.102946168955  0.009707048543  -0.000087370193   0.112565847305  -0.261764915447
31  0.103029323413  0.103029323413  0.021495610279  -0.002021888797   0.122503044895  -0.529907224725
32  0.103131301599  0.103131301599  0.021456915918  -0.002160121896   0.122428095621  -0.525092780852
33  0.103336633253  0.103336633253  0.010300335877  -0.000530945778   0.113106023351  -0.265838781731
34  0.103464207571  0.103464207571  0.010502291870  -0.000745341722   0.113221157719  -0.265500273244
35  0.103936821563  0.103936821563  0.019085173945  -0.002102958755   0.120919036752  -0.462109850400
36  0.104488722468  0.104488722468  0.019994350096  -0.002952270523   0.121530802041  -0.463738844090
37  0.104529086370  0.104529086370  0.019593124381  -0.002609914259   0.121512296491  -0.462136923900
38  0.104794776460  0.104794776460  0.019991466933  -0.002956567709   0.121829675684  -0.463543456747
39  0.105371365749  0.105371365749  0.019321861377  -0.002711814505   0.121981412620  -0.451982629436
40  0.105736793113  0.105736793113  0.019080556629  -0.002673882241   0.122143467501  -0.446448579443
41  0.105860724605  0.105860724605  0.025378771269  -0.000428701046   0.130810794828  -0.678926340870
42  0.106174523838  0.106174523838  0.018176726071  -0.002474027851   0.121877222058  -0.427292402338
43  0.106547010680  0.106547010680  0.025362285798  -0.000435420167   0.131473876311  -0.678294911430
