#n 	 E_n 	 <H> 	 <H_dir> 	 <H_exc> 	 <H_0> 	 E_B (eV)
0  0.071000390567  0.071000390567  0.009599124264  -0.000052305859   0.080547208972  -0.259782294352
1  0.072333666942  0.072333666942  0.008526645072  -0.000984339764   0.079875972250  -0.205236686662
2  0.072376931627  0.072376931627  0.008461465781  -0.000986723168   0.079851674240  -0.203398211136
3  0.072481385649  0.072481385649  0.008348627255  -0.001037308790   0.079792704113  -0.198951211271
4  0.075873834479  0.075873834479  0.010603332737  -0.000068338415   0.086408828801  -0.286671944493
5  0.076718591312  0.076718591312  0.009967193961  -0.000402496804   0.086283288468  -0.260268800209
6  0.076865283111  0.076865283111  0.010305888620  -0.000315139745   0.086856031985  -0.271862263919
7  0.077322773217  0.077322773217  0.009992959153  -0.000628677734   0.086687054636  -0.254815207414
8  0.077492095140  0.077492095140  0.009931116977  -0.000472923211   0.086950288906  -0.257370693840
9  0.077965184222  0.077965184222  0.009610952598  -0.000620805482   0.086955331338  -0.244634489233
10  0.078025077811  0.078025077811  0.008935467246  -0.001370986889   0.085589558168  -0.205840100785
11  0.078468886623  0.078468886623  0.008770867736  -0.001026688693   0.086213065666  -0.210729953603
12  0.078711767222  0.078711767222  0.009051714856  -0.001298723203   0.086464758875  -0.210969757068
13  0.078746240457  0.078746240457  0.009062045038  -0.001262119368   0.086546166127  -0.212246897376
14  0.078851561408  0.078851561408  0.008748440191  -0.001292872284   0.086307129315  -0.202876440543
15  0.079577293583  0.079577293583  0.007187603404  -0.001064903005   0.085699993981  -0.166607249630
16  0.079621239012  0.079621239012  0.005702596305  -0.000038839283   0.085284996034  -0.154118757836
17  0.079625024302  0.079625024302  0.005693048875  -0.000030626146   0.085287447031  -0.154082449847
18  0.079734201231  0.079734201231  0.005708311803  -0.000043973753   0.085398539282  -0.154134568422
19  0.079847441741  0.079847441741  0.006226194684  -0.000374066016   0.085699570409  -0.159244614025
20  0.080236497994  0.080236497994  0.005718069383  -0.000010604719   0.085943962658  -0.155308103962
21  0.080322655111  0.080322655111  0.005663615202  -0.000007628111   0.085978642202  -0.153907327130
22  0.080453677140  0.080453677140  0.005630280142  -0.000009183000   0.086074774281  -0.152957922753
23  0.080484855206  0.080484855206  0.005667071366  -0.000050097620   0.086101828952  -0.152845719384
24  0.080753587386  0.080753587386  0.011199375209  -0.000086417745   0.091866544849  -0.302399130718
25  0.080974546643  0.080974546643  0.006157998457  -0.000069090426   0.087063454675  -0.165687712003
26  0.081030098379  0.081030098379  0.006506413512  -0.000254599130   0.087281912762  -0.170120621893
27  0.081056786813  0.081056786813  0.006013326433  -0.000038161927   0.087031951318  -0.162592591419
28  0.081065151090  0.081065151090  0.006020792833  -0.000052364661   0.087033579263  -0.162409286364
29  0.081221212147  0.081221212147  0.011095356523  -0.000071720566   0.092244848104  -0.299968567481
30  0.081718829052  0.081718829052  0.010710685452  -0.000519647042   0.091909867462  -0.277312422590
31  0.082160659712  0.082160659712  0.010732741256  -0.000697008708   0.092196392260  -0.273086332666
32  0.082307526386  0.082307526386  0.010316378504  -0.000740691689   0.091883213201  -0.260567844197
33  0.082418013878  0.082418013878  0.011416992581  -0.000083556706   0.093751449753  -0.308398656969
34  0.082533863659  0.082533863659  0.010140053942  -0.001384911922   0.091289005679  -0.238239671572
35  0.082680594518  0.082680594518  0.009864098277  -0.001247517005   0.091297175791  -0.234469239635
36  0.082809888141  0.082809888141  0.009929949121  -0.000977170926   0.091762666336  -0.243617628588
37  0.082819336751  0.082819336751  0.010749003168  -0.000453011699   0.093115328219  -0.280168342247
38  0.082939703008  0.082939703008  0.009983735116  -0.000567648546   0.092355789579  -0.256224898099
39  0.083283253973  0.083283253973  0.010172939783  -0.000559848252   0.092896345504  -0.261585678883
40  0.083488970947  0.083488970947  0.009942296129  -0.000691349264   0.092739917811  -0.251731215515
41  0.083702014230  0.083702014230  0.010517185115  -0.001212258778   0.093006940567  -0.253200072511
42  0.083920247170  0.083920247170  0.010196339856  -0.001027318633   0.093089268393  -0.249501904103
43  0.083991790845  0.083991790845  0.009760111168  -0.000741456921   0.093010445093  -0.245410208192
44  0.084018811833  0.084018811833  0.010180447586  -0.000570638001   0.093628621418  -0.261496372558
45  0.084201815778  0.084201815778  0.007625459231  -0.000079463222   0.091747811786  -0.205337115788
46  0.084216304003  0.084216304003  0.007831197797  -0.000829777638   0.091217724162  -0.190518444506
47  0.084302417624  0.084302417624  0.008106429997  -0.000921364444   0.091487483178  -0.195515692799
48  0.084362670626  0.084362670626  0.006497598757  -0.000064076485   0.090796192898  -0.175065147945
49  0.084378512825  0.084378512825  0.006474582587  -0.000191541756   0.090661553656  -0.170970337265
50  0.084558168173  0.084558168173  0.007947530787  -0.000754495489   0.091751203471  -0.195732560720
51  0.084604423076  0.084604423076  0.008053821585  -0.000855961532   0.091802283130  -0.195863849055
52  0.084708564409  0.084708564409  0.009042591272  -0.001275846840   0.092475308840  -0.211343989425
53  0.084790223525  0.084790223525  0.007358908766  -0.000696240710   0.091452891581  -0.181300525547
54  0.084805130083  0.084805130083  0.007393837800  -0.000145961851   0.092053006032  -0.197224851590
55  0.084806973235  0.084806973235  0.006920411023  -0.000231944528   0.091495439730  -0.182002537166
56  0.084883259133  0.084883259133  0.006799653653  -0.000347557797   0.091335354989  -0.175570561177
57  0.084916972868  0.084916972868  0.006446968083  -0.000207800393   0.091156140558  -0.169776487685
58  0.084940927765  0.084940927765  0.006839611225  -0.000541127897   0.091239411093  -0.171390549241
59  0.084981134409  0.084981134409  0.010465723310  -0.000146599683   0.095300258036  -0.280797800657
60  0.085177868109  0.085177868109  0.009375306731  -0.001193653201   0.093359521639  -0.222634246873
61  0.085269521370  0.085269521370  0.007538927685  -0.000557219336   0.092251229719  -0.189982058579
62  0.085289332454  0.085289332454  0.010898655214  -0.000190938599   0.095997049069  -0.291371959886
63  0.085300184015  0.085300184015  0.007808986507  -0.001070955345   0.092038215178  -0.183351261165
64  0.085461879669  0.085461879669  0.008084305133  -0.000861863443   0.092684321358  -0.196532749792
65  0.085781021371  0.085781021371  0.006118879466  -0.000117300936   0.091782599902  -0.163311354018
66  0.085872212174  0.085872212174  0.006396493932  -0.000029681865   0.092239024241  -0.173249869885
67  0.085874380466  0.085874380466  0.006422180245  -0.000081198603   0.092215362108  -0.172546987856
68  0.085904063201  0.085904063201  0.006440521188  -0.000071679581   0.092272904808  -0.173305096520
69  0.085957611615  0.085957611615  0.006772619480  -0.000300662636   0.092429568459  -0.176111006466
70  0.085969708666  0.085969708666  0.006178294689  -0.000100347129   0.092047656226  -0.165389462235
71  0.085978923969  0.085978923969  0.006589881037  -0.000138655181   0.092430149825  -0.175546887261
72  0.085983259485  0.085983259486  0.006397312548  -0.000150808344   0.092229763690  -0.169976124512
73  0.085990342387  0.085990342387  0.007058590647  -0.000706960438   0.092341972597  -0.172836750279
74  0.086128520958  0.086128520958  0.006025601735  -0.000061155536   0.092092967157  -0.162300931300
75  0.086248166518  0.086248166518  0.006294704945  -0.000319815681   0.092223055782  -0.162585101723
76  0.086282901451  0.086282901451  0.010572347166  -0.000118441477   0.096736807139  -0.284465409246
77  0.086286202266  0.086286202266  0.006421486887  -0.000115530765   0.092592158388  -0.171593894410
